Open_Bid,High_Bid,Low_Bid,Close_Bid,Volume_Bid,Open_Ask,High_Ask,Low_Ask,Close_Ask,Volume_Ask,Volume_Delta,Volume_Delta_abs,Open_Delta,High_Delta,Low_Delta,Close_Delta,New_day,New_week,Y_High_Bid,Y_Low_Ask
2.4036,2.4059,2.4017,2.4059,0.0009517761,2.4102,2.4125,2.4083,2.4125,0.0009599811,0.1331803,9.446266e-06,0.84068626,0.84068626,0.84068626,0.84068626,1,1,2.4059,2.4083
2.4064,2.413,2.4064,2.4092,0.0050482424,2.4094,2.4188,2.4094,2.4141,0.003158912,0.13128662,0.0021751602,0.9289216,0.8602941,0.9289216,0.88235295,0,0,2.413,2.4094
2.4094,2.4098,2.3972,2.3977,0.002469695,2.4143,2.4148,2.4022,2.4027,0.0024122603,0.1331148,6.612387e-05,0.88235295,0.87990195,0.87990195,0.87990195,0,0,2.4098,2.4022
2.3977,2.398,2.3938,2.398,0.00244508,2.4026,2.4028,2.3986,2.4028,0.00244508,0.13317211,0.0,0.88235295,0.88480395,0.88480395,0.88480395,0,0,2.398,2.3986
2.3978,2.4024,2.3976,2.4023,0.0024286702,2.4026,2.4073,2.4023,2.4073,0.0024735238,0.13321687,5.163959e-05,0.88480395,0.88235295,0.8872549,0.87990195,0,0,2.4024,2.4023
2.4026,2.4061,2.4026,2.4058,0.0020840615,2.4075,2.4105,2.4073,2.409,0.0020430367,0.13313118,4.723133e-05,0.88235295,0.89460784,0.8872549,0.92401963,0,0,2.4061,2.4073
2.4061,2.4101,2.4046,2.4086,0.0033968561,2.4091,2.4138,2.409,2.412,0.003951512,0.13372564,0.0006385676,0.9289216,0.9117647,0.89460784,0.9191176,0,0,2.4101,2.409
2.4091,2.4091,2.4019,2.4042,0.003698252,2.4125,2.4125,2.4062,2.4072,0.00499956,0.13447078,0.0014981778,0.9191176,0.9191176,0.89705884,0.9289216,0,0,2.4091,2.4062
2.4042,2.4072,2.4042,2.4064,0.0064614112,2.4072,2.4102,2.4072,2.4094,0.008208795,0.13491595,0.0020117399,0.9289216,0.9289216,0.9289216,0.9289216,0,0,2.4072,2.4072
2.4063,2.4068,2.4048,2.4067,0.005186086,2.4093,2.4098,2.4078,2.4097,0.0060607353,0.13404499,0.0010069719,0.9289216,0.9289216,0.9289216,0.9289216,0,0,2.4068,2.4078
2.4067,2.4076,2.4053,2.4066,0.006910223,2.4097,2.4106,2.4083,2.4096,0.008221923,0.13448115,0.001510143,0.9289216,0.9289216,0.9289216,0.9289216,0,0,2.4076,2.4083
2.4062,2.4092,2.4057,2.409,0.0099717695,2.4092,2.4122,2.4087,2.412,0.011556969,0.13475409,0.0018250187,0.9289216,0.9289216,0.9289216,0.9289216,0,0,2.4092,2.4087
2.4091,2.4093,2.4046,2.4058,0.0100986725,2.4121,2.4123,2.4076,2.4088,0.02064643,0.14369842,0.01214349,0.9289216,0.9289216,0.9289216,0.9289216,0,0,2.4093,2.4076
2.4059,2.4084,2.4051,2.4078,0.0060082236,2.4089,2.4114,2.4081,2.4108,0.013522332,0.14067096,0.008650891,0.9289216,0.9289216,0.9289216,0.9289216,0,0,2.4084,2.4081
2.4079,2.4136,2.4078,2.4125,0.0148209045,2.4109,2.4166,2.4108,2.4155,0.032348353,0.15066393,0.020179113,0.9289216,0.9289216,0.9289216,0.9289216,0,0,2.4136,2.4108
2.4129,2.4154,2.407,2.4109,0.021392535,2.4159,2.4179,2.41,2.4139,0.044096828,0.15583025,0.02613914,0.9289216,0.9411765,0.9289216,0.9289216,0,0,2.4154,2.41
2.4108,2.4124,2.407,2.4075,0.015405372,2.4138,2.4154,2.41,2.4105,0.03358074,0.15131053,0.020925054,0.9289216,0.9289216,0.9289216,0.9289216,0,0,2.4124,2.41
2.4074,2.4097,2.4051,2.4074,0.013716516,2.4104,2.4127,2.4081,2.4104,0.05193689,0.17131479,0.044002596,0.9289216,0.9289216,0.9289216,0.9289216,0,0,2.4097,2.4081
2.4075,2.409,2.4053,2.406,0.011444834,2.4105,2.412,2.4083,2.409,0.0266098,0.14830625,0.01745922,0.9289216,0.9289216,0.9289216,0.9289216,0,0,2.409,2.4083
2.4061,2.407,2.4052,2.4052,0.009352568,2.4091,2.41,2.4082,2.4082,0.017080553,0.14088438,0.008897123,0.9289216,0.9289216,0.9289216,0.9289216,0,0,2.407,2.4082
2.405,2.406,2.4047,2.405,0.005760981,2.408,2.409,2.4077,2.408,0.009340534,0.1367444,0.004121091,0.9289216,0.9289216,0.9289216,0.9289216,0,0,2.406,2.4077
2.4048,2.4071,2.4046,2.4066,0.006207878,2.4078,2.4101,2.4076,2.4096,0.0171451,0.1440871,0.012591872,0.9289216,0.9289216,0.9289216,0.9289216,0,0,2.4071,2.4076
2.4066,2.407,2.4053,2.4056,0.008194573,2.4096,2.41,2.4083,2.4086,0.018037252,0.14299479,0.011331741,0.9289216,0.9289216,0.9289216,0.9289216,0,0,2.407,2.4083
