Time (UTC),Open,High,Low,Close,Volume 
2024.01.01 23:00:00,2064.562,2067.475,2064.075,2065.686,0.11843
2024.01.01 23:05:00,2065.616,2065.839,2064.476,2064.902,0.06906
2024.01.01 23:10:00,2064.902,2066.825,2064.752,2066.105,0.04203
2024.01.01 23:15:00,2066.105,2066.525,2065.415,2065.986,0.03201
2024.01.01 23:20:00,2065.992,2066.242,2065.645,2065.855,0.03309
2024.01.01 23:25:00,2065.835,2066.052,2065.355,2065.375,0.02412
2024.01.01 23:30:00,2065.505,2065.755,2064.445,2064.555,0.03835
2024.01.01 23:35:00,2064.575,2065.725,2064.575,2065.535,0.02721
2024.01.01 23:40:00,2065.485,2065.555,2064.665,2064.765,0.01764
2024.01.01 23:45:00,2064.715,2064.735,2063.395,2063.635,0.02243
2024.01.01 23:50:00,2063.645,2064.452,2063.645,2064.085,0.03283
2024.01.01 23:55:00,2064.055,2064.375,2063.896,2063.996,0.04212
2024.01.02 00:00:00,2063.996,2064.785,2063.625,2064.735,0.04222
2024.01.02 00:05:00,2064.825,2065.085,2064.415,2064.865,0.01997
2024.01.02 00:10:00,2064.815,2065.165,2064.085,2064.275,0.01944
2024.01.02 00:15:00,2064.335,2064.645,2063.635,2063.885,0.04019
2024.01.02 00:20:00,2063.925,2064.015,2063.285,2063.345,0.04797
2024.01.02 00:25:00,2063.345,2063.716,2062.572,2063.622,0.06906
2024.01.02 00:30:00,2063.635,2064.152,2063.242,2064.152,0.05859
2024.01.02 00:35:00,2064.152,2064.222,2063.622,2064.102,0.06332
2024.01.02 00:40:00,2064.002,2064.972,2063.972,2064.956,0.07128
2024.01.02 00:45:00,2064.972,2065.942,2064.772,2065.575,0.0646
2024.01.02 00:50:00,2065.565,2065.905,2065.255,2065.885,0.02364
2024.01.02 00:55:00,2065.875,2066.045,2065.035,2065.685,0.02868
2024.01.02 01:00:00,2065.565,2067.465,2065.085,2067.275,0.12525
2024.01.02 01:05:00,2067.245,2069.935,2067.155,2067.715,0.125
2024.01.02 01:10:00,2067.735,2069.785,2067.585,2069.545,0.07744
2024.01.02 01:15:00,2069.535,2070.135,2067.925,2068.525,0.0807
2024.01.02 01:20:00,2068.535,2069.215,2067.585,2068.925,0.06712
2024.01.02 01:25:00,2068.935,2069.275,2068.515,2068.785,0.10931
2024.01.02 01:30:00,2068.825,2068.825,2067.372,2067.872,0.13476
2024.01.02 01:35:00,2067.872,2068.892,2067.272,2068.375,0.29594
2024.01.02 01:40:00,2068.375,2068.775,2068.125,2068.435,0.09034
2024.01.02 01:45:00,2068.505,2069.385,2067.752,2067.915,0.11234
2024.01.02 01:50:00,2067.925,2068.045,2067.142,2067.442,0.1199
2024.01.02 01:55:00,2067.455,2067.635,2066.692,2066.866,0.15534
2024.01.02 02:00:00,2066.875,2067.105,2065.302,2065.895,0.14796
2024.01.02 02:05:00,2065.875,2066.165,2064.472,2065.295,0.16819
2024.01.02 02:10:00,2065.305,2065.345,2064.242,2064.905,0.09578
2024.01.02 02:15:00,2064.885,2066.422,2064.875,2066.422,0.11002
2024.01.02 02:20:00,2066.422,2066.736,2066.142,2066.572,0.12051
2024.01.02 02:25:00,2066.425,2067.396,2066.272,2066.955,0.10698
2024.01.02 02:30:00,2066.905,2067.155,2066.025,2066.525,0.04365
2024.01.02 02:35:00,2066.572,2068.642,2066.572,2068.382,0.14048
2024.01.02 02:40:00,2068.292,2068.452,2067.705,2067.715,0.04492
2024.01.02 02:45:00,2067.765,2068.545,2067.765,2067.985,0.02544
2024.01.02 02:50:00,2067.975,2068.365,2067.625,2067.635,0.03252
2024.01.02 02:55:00,2067.705,2068.105,2067.585,2068.035,0.05508
2024.01.02 03:00:00,2068.035,2068.065,2066.735,2067.355,0.02724
2024.01.02 03:05:00,2067.285,2068.895,2067.235,2068.735,0.07934
2024.01.02 03:10:00,2068.745,2069.705,2068.655,2069.355,0.03066
2024.01.02 03:15:00,2069.425,2070.085,2069.365,2069.545,0.10326
2024.01.02 03:20:00,2069.555,2070.165,2069.485,2070.025,0.03948
2024.01.02 03:25:00,2070.005,2070.255,2069.695,2070.005,0.026
2024.01.02 03:30:00,2070.005,2070.215,2069.775,2070.065,0.0156
2024.01.02 03:35:00,2070.075,2070.165,2069.685,2069.835,0.01356
2024.01.02 03:40:00,2069.825,2070.185,2069.825,2070.115,0.01464
2024.01.02 03:45:00,2070.045,2070.575,2069.755,2069.855,0.0336
2024.01.02 03:50:00,2069.855,2069.855,2068.845,2069.365,0.03588
2024.01.02 03:55:00,2069.375,2069.935,2069.045,2069.845,0.02628
2024.01.02 04:00:00,2069.875,2069.975,2069.635,2069.905,0.02412
2024.01.02 04:05:00,2069.955,2070.095,2069.495,2069.765,0.02422
2024.01.02 04:10:00,2069.755,2070.655,2069.705,2070.605,0.02004
2024.01.02 04:15:00,2070.625,2070.855,2069.525,2069.575,0.03912
2024.01.02 04:20:00,2069.575,2070.265,2069.175,2070.165,0.01914
2024.01.02 04:25:00,2070.135,2070.175,2069.555,2069.715,0.01488
2024.01.02 04:30:00,2069.795,2070.415,2069.795,2070.235,0.01668
2024.01.02 04:35:00,2070.255,2070.615,2070.035,2070.505,0.01992
2024.01.02 04:40:00,2070.515,2070.555,2070.025,2070.155,0.02256
2024.01.02 04:45:00,2070.195,2070.435,2069.925,2069.945,0.02916
2024.01.02 04:50:00,2069.945,2070.065,2069.395,2069.415,0.04104
2024.01.02 04:55:00,2069.415,2070.065,2069.135,2069.865,0.02796
2024.01.02 05:00:00,2069.875,2070.315,2069.745,2069.995,0.02796
2024.01.02 05:05:00,2069.975,2070.605,2069.865,2070.545,0.0162
2024.01.02 05:10:00,2070.515,2071.895,2070.135,2071.815,0.03442
2024.01.02 05:15:00,2071.835,2072.065,2071.105,2071.265,0.02755
2024.01.02 05:20:00,2071.285,2071.665,2071.075,2071.545,0.01824
2024.01.02 05:25:00,2071.575,2071.905,2071.395,2071.745,0.01764
2024.01.02 05:30:00,2071.735,2072.095,2071.075,2071.922,0.07953
2024.01.02 05:35:00,2071.935,2072.522,2071.435,2071.565,0.13991
2024.01.02 05:40:00,2071.502,2072.385,2071.475,2072.385,0.07753
2024.01.02 05:45:00,2072.405,2075.105,2072.205,2073.845,0.19154
2024.01.02 05:50:00,2073.875,2075.035,2073.795,2074.925,0.07028
2024.01.02 05:55:00,2074.965,2074.995,2074.015,2074.705,0.1287
2024.01.02 06:00:00,2074.755,2075.235,2073.955,2074.105,0.05625
2024.01.02 06:05:00,2074.135,2074.325,2073.155,2073.975,0.03015
2024.01.02 06:10:00,2074.032,2075.165,2074.032,2075.045,0.07139
2024.01.02 06:15:00,2074.965,2075.532,2074.535,2075.272,0.05314
2024.01.02 06:20:00,2075.305,2076.965,2075.145,2075.715,0.09627
2024.01.02 06:25:00,2075.695,2076.385,2074.855,2076.125,0.0536
2024.01.02 06:30:00,2076.125,2076.895,2075.645,2075.795,0.09005
2024.01.02 06:35:00,2075.755,2076.255,2075.015,2075.345,0.0336
2024.01.02 06:40:00,2075.375,2075.915,2075.115,2075.325,0.03417
2024.01.02 06:45:00,2075.365,2075.475,2074.885,2074.985,0.02821
2024.01.02 06:50:00,2074.985,2074.995,2074.035,2074.195,0.0318
2024.01.02 06:55:00,2074.245,2074.755,2074.045,2074.435,0.02838
2024.01.02 07:00:00,2074.355,2075.335,2073.625,2074.602,0.14344
2024.01.02 07:05:00,2074.615,2075.985,2074.222,2075.355,0.19278
2024.01.02 07:10:00,2075.355,2075.955,2074.985,2075.625,0.06444
